ETRN,DNI,DHI,Direct Normal Illuminance {lux},Diffuse Horizontal Illuminance {lux},Dry-Bulb,Dew-Point,Relative Humidity {%},wspd
0,0,34,999900,999900,6.7,3.3,79,0
613,214,157,999900,999900,8.9,3.1,67,1.7
779,703,164,999900,999900,11.1,3,57,3.4
910,839,167,999900,999900,13.3,2.8,49,5.1
1002,847,112,999900,999900,14.2,3.2,47,4.4
1051,814,58,999900,999900,15.2,3.5,45,3.8
1055,651,63,999900,999900,16.1,3.9,44,3.1
1013,585,24,999900,999900,16.3,4.1,44,2.8
928,309,59,999900,999900,16.5,4.2,44,2.4
803,140,11,999900,999900,16.7,4.4,44,2.1
642,0,0,999900,999900,15,4.6,50,1.9
0,0,0,999900,999900,13.4,4.8,56,1.7
0,0,0,999900,999900,11.7,5,63,1.5
0,0,0,999900,999900,11.1,4.8,65,1.7
0,0,0,999900,999900,10.6,4.6,66,1.9
0,0,0,999900,999900,10,4.4,68,2.1
0,0,0,999900,999900,9.8,4.2,68,2.6
0,0,0,999900,999900,9.6,4.1,69,3.1
0,0,0,999900,999900,9.4,3.9,68,3.6
0,0,0,999900,999900,8.9,3.9,71,3.3
0,0,0,999900,999900,8.3,3.9,74,2.9
0,0,0,999900,999900,7.8,3.9,76,2.6
0,0,0,999900,999900,8.3,3.7,73,3.1
0,0,0,999900,999900,8.9,3.5,69,3.6
0,0,40,999900,999900,9.4,3.3,66,4.1
613,281,126,999900,999900,10.5,3.3,61,4.3
779,289,140,999900,999900,11.7,3.3,56,4.4
911,198,146,999900,999900,12.8,3.3,52,4.6
1003,11,204,999900,999900,13.2,3.7,52,4.6
1052,6,164,999900,999900,13.5,4,53,4.6
1056,6,105,999900,999900,13.9,4.4,53,4.6
1015,5,110,999900,999900,13.9,5,55,3.9
931,4,80,999900,999900,13.9,5.5,57,3.3
806,3,26,999900,999900,13.9,6.1,59,2.6
645,0,0,999900,999900,12.8,6.3,65,2.6
0,0,0,999900,999900,11.7,6.5,70,2.6
0,0,0,999900,999900,10.6,6.7,77,2.6
0,0,0,999900,999900,9.8,6.5,80,2.8
0,0,0,999900,999900,9.1,6.3,83,2.9
0,0,0,999900,999900,8.3,6.1,86,3.1
0,0,0,999900,999900,7.8,5.9,88,3.1
0,0,0,999900,999900,7.2,5.8,91,3.1
0,0,0,999900,999900,6.7,5.6,93,3.1
0,0,0,999900,999900,6.1,5.2,94,3.1
0,0,0,999900,999900,5.6,4.8,95,3.1
0,0,0,999900,999900,5,4.4,96,3.1
0,0,0,999900,999900,4.6,4,96,3.3
0,0,0,999900,999900,4.3,3.7,96,3.4
0,0,53,999900,999900,3.9,3.3,96,3.6
613,489,189,999900,999900,6.7,4.8,88,2.9
780,765,199,999900,999900,9.4,6.3,81,2.2
912,843,181,999900,999900,12.2,7.8,74,1.5
1004,878,135,999900,999900,13.7,7.8,68,1.7
1054,876,86,999900,999900,15.2,7.8,61,1.9
1058,829,40,999900,999900,16.7,7.8,56,2.1
1017,762,0,999900,999900,17.1,7.1,52,2.1
933,516,10,999900,999900,17.4,6.3,48,2.1
808,176,12,999900,999900,17.8,5.6,45,2.1
648,0,0,999900,999900,16.1,5.8,50,1.9
0,0,0,999900,999900,14.5,5.9,56,1.7
0,0,0,999900,999900,12.8,6.1,64,1.5
0,0,0,999900,999900,11.1,5.9,70,2
0,0,0,999900,999900,9.5,5.8,78,2.6
0,0,0,999900,999900,7.8,5.6,86,3.1
0,0,0,999900,999900,7.8,4.7,81,2.4
0,0,0,999900,999900,7.8,3.7,75,1.7
0,0,0,999900,999900,7.8,2.8,71,1
0,0,0,999900,999900,7.1,2.6,73,1.2
0,0,0,999900,999900,6.3,2.4,76,1.3
0,0,0,999900,999900,5.6,2.2,79,1.5
0,0,0,999900,999900,5.4,1.8,78,1.5
0,0,0,999900,999900,5.2,1.5,77,1.5
0,0,51,999900,999900,5,1.1,76,1.5
613,501,175,999900,999900,8.7,-1.2,49,3.2
780,675,199,999900,999900,12.4,-3.6,31,5
913,788,172,999900,999900,16.1,-6.1,20,6.7
1006,764,129,999900,999900,17,-5.4,20,7
1055,640,126,999900,999900,18,-4.9,20,7.4
1060,482,128,999900,999900,18.9,-4.4,19,7.7
1020,149,202,999900,999900,18.9,-4.5,19,7.4
935,32,134,999900,999900,18.9,-4.7,19,7
811,39,25,999900,999900,18.9,-5,18,6.7
650,0,0,999900,999900,18.2,-4.9,19,6.5
0,0,0,999900,999900,17.4,-4.9,20,6.4
0,0,0,999900,999900,16.7,-5,21,6.2
0,0,0,999900,999900,16.3,-5.3,21,6.2
0,0,0,999900,999900,16,-5.6,21,6.2
0,0,0,999900,999900,15.6,-6.1,21,6.2
0,0,0,999900,999900,15.2,-6.2,21,6.4
0,0,0,999900,999900,14.8,-6.4,21,6.5
0,0,0,999900,999900,14.4,-6.7,21,6.7
0,0,0,999900,999900,13.9,-6.8,22,6.7
0,0,0,999900,999900,13.3,-6.9,22,6.7
0,0,0,999900,999900,12.8,-7.2,22,6.7
0,0,0,999900,999900,13,-7.3,22,7
0,0,0,999900,999900,13.1,-7.5,21,7.4
0,0,43,999900,999900,13.3,-7.8,21,7.7
614,157,175,999900,999900,14.8,-7.5,19,8.2
781,460,226,999900,999900,16.3,-7.3,18,8.8
914,719,188,999900,999900,17.8,-7.2,16,9.3
1007,763,158,999900,999900,19.1,-8,14,8.9
1057,781,117,999900,999900,20.4,-9,12,8.6
1062,761,70,999900,999900,21.7,-10,10,8.2
1022,675,27,999900,999900,21.1,-9.7,11,6.8
938,378,59,999900,999900,20.6,-9.5,11,5.5
813,93,34,999900,999900,20,-9.4,12,4.1
653,0,0,999900,999900,18.3,-7.8,15,3.2
0,0,0,999900,999900,16.7,-6.4,19,2.4
0,0,0,999900,999900,15,-5,24,1.5
0,0,0,999900,999900,13.9,-4.2,27,1.5
0,0,0,999900,999900,12.8,-3.4,31,1.5
0,0,0,999900,999900,11.7,-2.8,35,1.5
0,0,0,999900,999900,11.7,-3.2,34,1.5
0,0,0,999900,999900,11.7,-3.8,32,1.5
0,0,0,999900,999900,11.7,-4.4,31,1.5
0,0,0,999900,999900,10.8,-3.6,35,1
0,0,0,999900,999900,9.8,-2.8,40,0.5
0,0,0,999900,999900,8.9,-2.2,45,0
0,0,0,999900,999900,7.8,-2.1,49,0.5
0,0,0,999900,999900,6.7,-2.1,52,1
0,0,53,999900,999900,5.6,-2.2,56,1.5
614,498,184,999900,999900,10,-3.4,37,3.1
782,812,184,999900,999900,14.5,-4.7,25,4.6
915,888,168,999900,999900,18.9,-6.1,17,6.2
1009,927,119,999900,999900,20,-5.8,16,5.2
1059,934,66,999900,999900,21.1,-5.7,15,4.1
1064,895,16,999900,999900,22.2,-5.6,14,3.1
1024,821,0,999900,999900,22.2,-4.9,15,3.1
940,598,0,999900,999900,22.2,-4.4,16,3.1
816,235,0,999900,999900,22.2,-3.9,16,3.1
656,0,0,999900,999900,20,-2.9,21,2.6
0,0,0,999900,999900,17.8,-1.9,26,2
0,0,0,999900,999900,15.6,-1.1,31,1.5
0,0,0,999900,999900,13.5,-0.6,38,1
0,0,0,999900,999900,11.5,-0.3,44,0.5
0,0,0,999900,999900,9.4,0,52,0
0,0,0,999900,999900,9.4,-0.3,51,1
0,0,0,999900,999900,9.4,-0.6,49,2.1
0,0,0,999900,999900,9.4,-1.1,47,3.1
0,0,0,999900,999900,8.3,-0.8,52,2.1
0,0,0,999900,999900,7.2,-0.7,57,1
0,0,0,999900,999900,6.1,-0.6,62,0
0,0,0,999900,999900,6.3,-0.5,61,1
0,0,0,999900,999900,6.5,-0.5,61,2.1
0,0,49,999900,999900,6.7,-0.6,59,3.1
615,90,167,999900,999900,9.1,-0.5,51,3.1
783,107,238,999900,999900,11.5,-0.5,43,3.1
916,90,267,999900,999900,13.9,-0.6,37,3.1
1010,340,234,999900,999900,15.6,-0.5,33,2.4
1061,515,186,999900,999900,17.2,-0.5,30,1.7
1066,712,75,999900,999900,18.9,-0.6,27,1
1026,593,56,999900,999900,19.1,-0.7,26,0.7
943,266,103,999900,999900,19.2,-0.8,26,0.3
819,216,0,999900,999900,19.4,-1.1,25,0
659,0,0,999900,999900,16.3,0.2,33,0.7
0,0,0,999900,999900,13.1,1.5,45,1.4
0,0,0,999900,999900,10,2.8,61,2.1
0,0,0,999900,999900,8.9,2.8,66,2.3
0,0,0,999900,999900,7.8,2.8,71,2.4
0,0,0,999900,999900,6.7,2.8,76,2.6
0,0,0,999900,999900,6.1,2.4,77,2.6
0,0,0,999900,999900,5.6,2.1,78,2.6
0,0,0,999900,999900,5,1.7,79,2.6
0,0,0,999900,999900,4.6,1.5,80,2.2
0,0,0,999900,999900,4.3,1.3,81,1.9
0,0,0,999900,999900,3.9,1.1,82,1.5
0,0,0,999900,999900,3.7,0.7,81,1.9
0,0,0,999900,999900,3.5,0.4,80,2.2
0,0,58,999900,999900,3.3,0,79,2.6
616,515,185,999900,999900,6.3,1.1,69,2.9
784,800,177,999900,999900,9.2,2.2,62,3.3
918,883,141,999900,999900,12.2,3.3,54,3.6
1012,839,97,999900,999900,13.9,3.1,48,3.3
1063,713,89,999900,999900,15.5,3,43,2.9
1068,533,103,999900,999900,17.2,2.8,38,2.6
1029,518,58,999900,999900,17.4,2.1,36,1.7
945,366,49,999900,999900,17.6,1.3,33,0.9
821,22,57,999900,999900,17.8,0.6,31,0
662,0,0,999900,999900,16.1,1.5,37,0.3
0,0,0,999900,999900,14.5,2.4,44,0.7
0,0,0,999900,999900,12.8,3.3,52,1
0,0,0,999900,999900,11.5,3.3,57,1.5
0,0,0,999900,999900,10.2,3.3,62,2.1
0,0,0,999900,999900,8.9,3.3,68,2.6
0,0,0,999900,999900,8,3.1,71,1.7
0,0,0,999900,999900,7,3,76,0.9
0,0,0,999900,999900,6.1,2.8,79,0
0,0,0,999900,999900,5,2.4,83,1.2
0,0,0,999900,999900,3.9,2.1,88,2.4
0,0,0,999900,999900,2.8,1.7,92,3.6
0,0,0,999900,999900,2.8,1.5,91,2.7
0,0,0,999900,999900,2.8,1.3,90,1.9
0,0,62,999900,999900,2.8,1.1,89,1
617,441,205,999900,999900,5.6,1.5,75,1
785,715,224,999900,999900,8.3,1.8,64,1
919,803,208,999900,999900,11.1,2.2,54,1
1013,855,161,999900,999900,13.1,2,47,1.5
1065,864,109,999900,999900,15.2,1.9,41,2.1
1071,814,65,999900,999900,17.2,1.7,35,2.6
1031,720,26,999900,999900,17.6,1.5,34,2.9
948,483,31,999900,999900,17.9,1.3,33,3.3
824,145,28,999900,999900,18.3,1.1,31,3.6
665,0,0,999900,999900,16.3,1.5,37,3.6
0,0,0,999900,999900,14.2,1.8,43,3.6
0,0,0,999900,999900,12.2,2.2,50,3.6
0,0,0,999900,999900,10.4,2,56,2.4
0,0,0,999900,999900,8.5,1.9,63,1.2
0,0,0,999900,999900,6.7,1.7,70,0
0,0,0,999900,999900,5.9,1.5,73,0.5
0,0,0,999900,999900,5.2,1.3,76,1
0,0,0,999900,999900,4.4,1.1,79,1.5
0,0,0,999900,999900,4.4,0.4,75,1.5
0,0,0,999900,999900,4.4,-0.3,71,1.5
0,0,0,999900,999900,4.4,-1.1,67,1.5
0,0,0,999900,999900,5.5,-2.1,57,1.7
0,0,0,999900,999900,6.7,-3.2,48,1.9
0,0,60,999900,999900,7.8,-4.4,40,2.1
618,573,183,999900,999900,9.8,-5.2,33,3.5
786,836,175,999900,999900,11.9,-6.2,26,4.8
920,898,148,999900,999900,13.9,-7.2,21,6.2
1015,933,105,999900,999900,15.2,-7.5,19,6
1067,949,53,999900,999900,16.5,-7.8,17,5.9
1073,926,1,999900,999900,17.8,-8.3,15,5.7
1034,857,0,999900,999900,18,-8.2,15,4.7
951,663,0,999900,999900,18.1,-8.2,15,3.6
827,300,0,999900,999900,18.3,-8.3,14,2.6
667,0,0,999900,999900,16.3,-7.8,17,2.9
0,0,0,999900,999900,14.2,-7.5,20,3.3
0,0,0,999900,999900,12.2,-7.2,23,3.6
0,0,0,999900,999900,10.7,-6.4,28,3.4
0,0,0,999900,999900,9.3,-5.6,33,3.3
0,0,0,999900,999900,7.8,-5,38,3.1
0,0,0,999900,999900,7.2,-4.9,40,2.9
0,0,0,999900,999900,6.7,-4.9,41,2.8
0,0,0,999900,999900,6.1,-5,43,2.6
0,0,0,999900,999900,5.5,-4.5,46,2.6
0,0,0,999900,999900,5,-4.2,49,2.6
0,0,0,999900,999900,4.4,-3.9,53,2.6
0,0,0,999900,999900,5.5,-4.2,48,2.6
0,0,0,999900,999900,6.7,-4.5,43,2.6
0,0,66,999900,999900,7.8,-5,38,2.6
619,606,196,999900,999900,10,-5.5,31,3.8
788,832,198,999900,999900,12.2,-6,26,5
922,903,171,999900,999900,14.4,-6.7,21,6.2
1017,941,119,999900,999900,15.7,-6.8,19,5.2
1069,949,63,999900,999900,17,-6.9,18,4.1
1075,910,12,999900,999900,18.3,-7.2,16,3.1
1036,834,0,999900,999900,18.3,-7.7,15,2.6
954,633,0,999900,999900,18.3,-8.2,14,2
830,283,0,999900,999900,18.3,-8.9,14,1.5
670,0,0,999900,999900,16.5,-7.1,18,1.5
0,0,0,999900,999900,14.6,-5.5,23,1.5
0,0,0,999900,999900,12.8,-3.9,30,1.5
0,0,0,999900,999900,11.7,-3.2,34,1.3
0,0,0,999900,999900,10.5,-2.7,38,1.2
0,0,0,999900,999900,9.4,-2.2,43,1
0,0,0,999900,999900,9.6,-3.6,38,1.9
0,0,0,999900,999900,9.8,-5.1,33,2.7
0,0,0,999900,999900,10,-6.7,28,3.6
0,0,0,999900,999900,8.1,-5.8,35,2.7
0,0,0,999900,999900,6.3,-5.1,42,1.9
0,0,0,999900,999900,4.4,-4.4,51,1
0,0,0,999900,999900,3.9,-3.8,55,1.2
0,0,0,999900,999900,3.3,-3.2,60,1.3
0,0,68,999900,999900,2.8,-2.8,65,1.5
620,713,190,999900,999900,6.1,-2.5,53,2
789,899,182,999900,999900,9.5,-2.3,43,2.6
924,947,155,999900,999900,12.8,-2.2,34,3.1
1019,932,108,999900,999900,14.6,-3.2,28,2.8
1071,918,46,999900,999900,16.5,-4.4,23,2.4
1078,863,0,999900,999900,18.3,-5.6,18,2.1
1039,821,0,999900,999900,18.3,-4.9,19,1.7
956,609,0,999900,999900,18.3,-4.4,20,1.4
833,303,0,999900,999900,18.3,-3.9,21,1
673,0,0,999900,999900,16.5,-3.2,25,0.7
0,0,0,999900,999900,14.6,-2.7,29,0.3
0,0,0,999900,999900,12.8,-2.2,34,0
0,0,0,999900,999900,10.6,-1.6,42,0.9
0,0,0,999900,999900,8.3,-1,51,1.7
0,0,0,999900,999900,6.1,-0.6,62,2.6
0,0,0,999900,999900,6.5,-0.7,60,2.4
0,0,0,999900,999900,6.8,-0.8,58,2.3
0,0,0,999900,999900,7.2,-1.1,55,2.1
0,0,0,999900,999900,6.5,-1.4,56,2.1
0,0,0,999900,999900,5.7,-1.7,58,2.1
0,0,0,999900,999900,5,-2.2,58,2.1
0,0,0,999900,999900,4.4,-1.9,62,1.9
0,0,0,999900,999900,3.9,-1.8,65,1.7
0,0,71,999900,999900,3.3,-1.7,69,1.5
621,625,199,999900,999900,6.6,-0.8,59,1.7
790,836,201,999900,999900,10,-0.1,49,1.9
925,909,172,999900,999900,13.3,0.6,42,2.1
1021,948,119,999900,999900,15.3,-0.1,35,2.3
1073,955,61,999900,999900,17.4,-0.8,29,2.4
1080,916,9,999900,999900,19.4,-1.7,24,2.6
1042,839,0,999900,999900,19.6,-1.4,24,2.9
959,647,0,999900,999900,19.8,-1.2,24,3.3
836,304,0,999900,999900,20,-1.1,24,3.6
676,0,0,999900,999900,18.1,-0.6,28,2.4
0,0,0,999900,999900,16.3,-0.3,32,1.2
0,0,0,999900,999900,14.4,0,37,0
0,0,0,999900,999900,12.4,0.6,44,1.4
0,0,0,999900,999900,10.3,1.1,53,2.7
0,0,0,999900,999900,8.3,1.7,63,4.1
0,0,0,999900,999900,7.4,1.3,65,3.6
0,0,0,999900,999900,6.5,1,68,3.1
0,0,0,999900,999900,5.6,0.6,70,2.6
0,0,0,999900,999900,5.2,0.2,70,2.4
0,0,0,999900,999900,4.8,-0.1,70,2.3
0,0,0,999900,999900,4.4,-0.6,70,2.1
0,0,0,999900,999900,4,-0.7,71,2.3
0,0,0,999900,999900,3.7,-0.8,72,2.4
0,0,73,999900,999900,3.3,-1.1,72,2.6
622,491,212,999900,999900,6.8,-1,57,2.2
792,732,231,999900,999900,10.4,-1,45,1.9
927,827,208,999900,999900,13.9,-1.1,35,1.5
1023,881,156,999900,999900,16.3,-1.4,29,1.9
1075,891,100,999900,999900,18.7,-1.7,25,2.2
1083,839,56,999900,999900,21.1,-2.2,20,2.6
1044,738,22,999900,999900,21.3,-2.3,20,1.7
962,524,18,999900,999900,21.5,-2.5,19,0.9
839,194,20,999900,999900,21.7,-2.8,19,0
679,0,0,999900,999900,19.7,-1.8,23,0.7
0,0,0,999900,999900,17.6,-0.8,28,1.4
0,0,0,999900,999900,15.6,0,34,2.1
